[2026-08-25T22:29:23.547Z] GET http://localhost:3000/_next/static/chunks/_219uq1s._.js → 200 (46ms, 519B)
[2026-08-25T22:29:23.547Z] GET http://localhost:3000/_next/static/chunks/_05-whcf._.js → 200 (47ms, 20282B)
[2026-08-25T22:29:23.547Z] GET http://localhost:3000/_next/static/chunks/src_0xr-_6v._.js → 200 (48ms, 10214B)
[2026-08-25T22:29:23.547Z] GET http://localhost:3000/_next/static/chunks/node_modules_%40hugeicons_1agalyw._.js → 200 (48ms, 36773B)
[2026-08-25T22:29:23.547Z] GET http://localhost:3000/_next/static/chunks/src_1jofyj4._.js → 200 (49ms, 27463B)
[2026-08-25T22:29:23.548Z] GET http://localhost:3000/_next/static/chunks/node_modules_1snirfb._.js → 200 (121ms, 79450B)
[2026-08-25T22:29:23.584Z] GET http://localhost:3000/fonts/inter/InterVariable.woff2 → 200 (74ms, 352240B)
[2026-08-25T22:29:23.584Z] GET http://localhost:3000/fonts/saans/SaansVF.ttf → 200 (75ms, 196297B)
[2026-08-25T22:29:23.658Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_1mojsay._.js → 200 (12ms, 3904B)
[2026-08-25T22:29:23.658Z] GET http://localhost:3000/_next/static/chunks/src_1g-vkj3._.js → 200 (20ms, 16565B)
[2026-08-25T22:29:23.658Z] GET http://localhost:3000/_next/static/chunks/node_modules_04pgpr-._.js → 200 (20ms, 58891B)
[2026-08-25T22:31:53.825Z] GET http://localhost:3000/about → pending (?ms, ?B)
[2026-08-25T22:31:54.672Z] GET http://localhost:3000/_next/static/chunks/src_app_globals_162hn9o.css → 200 (7ms, ?B)
[2026-08-25T22:31:54.672Z] GET http://localhost:3000/icon.svg → 304 (8ms, ?B)
[2026-08-25T22:31:54.672Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_1di75ot._.js → 200 (54ms, ?B)
[2026-08-25T22:31:54.672Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_next-devtools_index_090k2jm.js → 200 (76ms, ?B)
[2026-08-25T22:31:54.672Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_react-dom_096_9a-._.js → 200 (72ms, ?B)
[2026-08-25T22:31:54.672Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_react-server-dom-turbopack_164kp-6._.js → 200 (97ms, ?B)
[2026-08-25T22:31:54.672Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_1amofcm._.js → 200 (116ms, ?B)
[2026-08-25T22:31:54.672Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0_90u2t._.js → 200 (117ms, ?B)
[2026-08-25T22:31:54.672Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_1e8vcs8._.js → 200 (116ms, ?B)
[2026-08-25T22:31:54.672Z] GET http://localhost:3000/_next/static/chunks/node_modules_%40swc_helpers_cjs_1r9vbqw._.js → 200 (116ms, ?B)
[2026-08-25T22:31:54.673Z] GET http://localhost:3000/_next/static/chunks/_1anvha4._.js → 200 (116ms, ?B)
[2026-08-25T22:31:54.673Z] GET http://localhost:3000/_next/static/chunks/turbopack-_08bm286._.js → 200 (119ms, ?B)
[2026-08-25T22:31:54.673Z] GET http://localhost:3000/_next/static/chunks/_1ihvo1x._.js → 200 (223ms, 477B)
[2026-08-25T22:31:54.674Z] GET http://localhost:3000/_next/static/chunks/_05-whcf._.js → 200 (222ms, ?B)
[2026-08-25T22:31:54.678Z] GET http://localhost:3000/_next/static/chunks/src_0xr-_6v._.js → 200 (219ms, ?B)
[2026-08-25T22:31:54.678Z] GET http://localhost:3000/_next/static/chunks/node_modules_%40hugeicons_1agalyw._.js → 200 (219ms, ?B)
[2026-08-25T22:31:54.678Z] GET http://localhost:3000/_next/static/chunks/src_090zbm7._.js → 200 (226ms, 17358B)
